Departamento de residencia,Total,Soltera,Casada,Unida,Ignorado,Anio
Santa Rosa,8464,5817,2638,7,2,17
Sololá,10209,5398,4740,70,1,17
Totonicapán,12744,5679,7050,15,0,17
Quetzaltenango,20248,11290,8919,32,7,17
Suchitepéquez,13549,7285,6259,1,4,17
Retalhuleu,8115,4549,3561,5,0,17
San Marcos,30133,20082,9983,61,7,17
Huehuetenango,37607,25372,12231,0,4,17
Quiché,28651,15940,12703,7,1,17
Baja Verapaz,7912,4227,3685,0,0,17
Alta Verapaz,33966,19541,14369,53,3,17
Petén,14808,10687,3786,334,1,17
Izabal,9789,7197,2583,2,7,17
Zacapa,5885,4046,1834,2,3,17
Chiquimula,10495,6890,3580,16,9,17
Jalapa,8972,6034,2937,1,0,17
Jutiapa,10748,6784,3941,20,3,17
Extranjero,194,154,21,0,19,17
Ignorado,74,19,2,0,53,17
Todos los departamentos,383263,234025,148472,545,221,18
Guatemala,64735,39168,25529,6,32,18
El Progreso,3920,2607,1310,3,0,18
Sacatepéquez,6545,3445,3098,0,2,18
Chimaltenango,15540,5933,9603,2,2,18
Escuintla,16321,11037,5259,19,6,18
Santa Rosa,8228,5703,2520,5,0,18
Sololá,10168,5464,4647,57,0,18
Totonicapán,12945,5755,7173,14,3,18
Quetzaltenango,20050,11294,8716,37,3,18
Suchitepéquez,13623,7495,6124,2,2,18
Retalhuleu,8236,4497,3733,5,1,18
San Marcos,29426,19623,9767,28,8,18
Huehuetenango,38156,26244,11905,0,7,18
Quiché,30168,17272,12893,2,1,18
Baja Verapaz,8030,4326,3701,1,2,18
Alta Verapaz,34819,20963,13823,32,1,18
Petén,15427,11212,3920,293,2,18
Izabal,10130,7340,2780,0,10,18
Zacapa,5835,4078,1752,1,4,18
Chiquimula,10698,7231,3430,20,17,18
Jalapa,9305,6439,2861,1,4,18
Jutiapa,10536,6623,3893,17,3,18
Extranjero,339,260,35,0,44,18
Ignorado,83,16,0,0,67,18
Todos los departamentos,366855,225006,141097,499,253,19
Guatemala,59563,35636,23880,5,42,19
El Progreso,3709,2475,1229,4,1,19
Sacatepéquez,6341,3407,2930,1,3,19
Chimaltenango,15192,6031,9155,2,4,19
Escuintla,15437,10415,4996,19,7,19
Santa Rosa,8024,5565,2450,5,4,19
Sololá,10021,5337,4630,51,3,19
Totonicapán,12507,5650,6846,6,5,19
Quetzaltenango,19461,10949,8468,38,6,19
Suchitepéquez,13252,7189,6057,1,5,19
Retalhuleu,7752,4311,3435,3,3,19
San Marcos,27460,18364,9040,47,9,19
Huehuetenango,36881,25562,11312,0,7,19
Quiché,29288,17092,12176,4,16,19
Baja Verapaz,7831,4331,3497,1,2,19
Alta Verapaz,34614,21170,13399,40,5,19
Petén,14851,10777,3837,236,1,19
Izabal,9393,7009,2375,1,8,19
Zacapa,5460,3860,1595,2,3,19
Chiquimula,10123,6868,3227,13,15,19
Jalapa,8931,6216,2715,0,0,19
