Edad,Total,Guatemala,El Progreso,Sacatepéquez,Chimaltenango,Escuintla,Santa Rosa,Sololá,Totonicapán,Quetzaltenango,Suchitepéquez,Retalhuleu,San Marcos,Huehuetenango,Quiché,Baja Verapaz,Alta Verapaz,Petén,Izabal,Zacapa,Chiquimula,Jalapa,Jutiapa,Extranjero,Ignorado,Anio
35,7733,1284,59,135,370,212,167,240,271,370,249,114,595,789,759,136,755,275,189,95,240,187,241,1,0,10
36,6943,1119,53,107,368,167,142,240,256,359,213,97,602,726,688,138,605,258,159,74,192,170,207,1,2,10
37,6213,891,62,93,290,166,115,195,229,301,222,110,521,656,632,121,623,223,121,79,208,159,191,4,1,10
38,5246,772,43,72,247,143,113,176,225,267,171,96,428,535,552,111,463,172,113,62,170,139,171,3,2,10
39,4282,565,40,58,216,99,97,137,205,200,117,65,366,455,454,72,409,177,100,68,139,106,134,3,0,10
40,3453,427,49,49,170,90,78,145,167,185,89,56,296,380,368,61,299,110,87,40,106,95,103,1,2,10
41,2655,322,22,39,168,62,45,112,118,160,73,44,233,299,280,53,248,86,52,21,69,64,82,2,1,10
42,1979,235,21,29,108,42,52,72,93,112,59,33,193,182,206,32,197,80,53,26,48,43,63,0,0,10
43,1282,132,12,21,65,30,31,47,55,64,43,27,125,133,130,27,142,49,20,20,38,30,40,1,0,10
44,843,81,6,10,52,14,24,36,32,34,21,14,89,99,86,21,77,40,19,13,22,25,27,1,0,10
45,517,63,5,7,26,14,18,23,21,20,17,5,47,60,51,15,50,23,10,5,11,9,17,0,0,10
46,309,24,1,2,4,8,3,9,12,17,9,4,39,44,43,6,36,15,6,3,8,5,10,0,1,10
47,183,8,0,0,10,1,3,5,10,7,5,3,25,33,20,4,15,10,4,1,2,4,13,0,0,10
48,136,13,0,0,3,3,3,4,3,7,8,2,14,18,17,3,9,10,5,1,5,3,5,0,0,10
49,104,4,3,0,2,0,0,1,0,6,7,2,21,14,9,2,12,8,5,1,5,1,1,0,0,10
50,78,4,0,0,1,4,3,3,2,3,2,0,13,14,4,0,10,7,2,0,2,1,3,0,0,10
51,63,2,0,0,0,3,4,1,2,2,0,0,7,7,5,1,9,14,2,1,1,0,2,0,0,10
52,54,2,1,0,0,2,1,0,3,3,0,0,13,7,8,0,3,6,0,1,0,2,2,0,0,10
53,40,0,0,0,0,2,1,2,3,1,1,0,6,5,6,0,6,4,2,0,0,1,0,0,0,10
54,35,1,0,1,0,1,1,0,2,1,2,0,7,2,3,1,5,7,1,0,0,0,0,0,0,10
55,25,1,0,0,0,0,1,0,1,1,0,0,7,0,3,1,4,2,1,0,1,0,2,0,0,10
56,25,0,0,0,0,1,1,1,2,1,2,0,4,4,2,0,2,1,0,1,1,0,2,0,0,10
57,12,0,0,0,0,0,0,0,1,0,0,0,1,1,3,0,3,0,0,0,0,0,3,0,0,10
58,11,1,0,0,0,0,0,0,0,0,0,0,1,4,1,0,2,0,1,0,0,0,1,0,0,10
59,5,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,1,0,0,0,0,10
Ignorado,283,51,1,1,14,6,8,0,5,10,8,5,21,10,14,1,17,12,7,1,11,3,1,0,76,10
Todas las edades,373692,61951,4092,6845,15303,15800,9022,9555,11724,19858,13782,7894,29742,36713,28392,7760,33382,14383,10137,6001,10721,9022,11335,158,120,11
10,6,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,3,11
11,31,2,0,0,0,0,1,0,1,0,1,0,1,4,1,0,5,7,2,0,1,0,2,0,3,11
12,109,4,4,1,1,3,1,1,0,6,1,4,10,8,8,4,10,16,5,6,6,3,2,0,5,11
13,466,31,7,2,4,25,8,12,5,27,16,9,34,46,29,8,41,53,24,16,22,17,20,0,10,11
14,2229,203,23,10,36,159,70,26,39,125,93,56,164,221,144,51,233,175,109,58,91,66,76,0,1,11
15,5983,563,70,56,107,312,178,107,141,338,209,154,507,646,457,148,640,409,243,126,221,152,195,3,1,11
16,11964,1233,127,161,283,630,333,216,300,692,497,271,1027,1305,974,281,1164,677,444,245,369,330,400,3,2,11
17,17133,2014,181,261,554,814,496,311,463,988,680,393,1419,1884,1419,362,1699,782,573,313,511,474,534,4,4,11
18,18422,2447,188,270,594,946,458,395,515,1090,723,409,1675,1886,1369,431,1859,807,529,309,475,457,578,7,5,11
19,21673,3219,225,362,776,1063,582,470,591,1186,828,510,1855,2284,1578,467,1904,924,640,388,572,534,707,4,4,11
20,21995,3561,241,426,813,1024,581,481,681,1191,827,492,1850,2222,1551,487,1912,864,628,324,667,512,653,5,2,11
21,23034,3798,286,494,919,1140,564,538,675,1284,915,515,1786,2228,1631,504,2070,929,610,346,625,509,652,11,5,11
