Edad,Total,Guatemala,El Progreso,Sacatepéquez,Chimaltenango,Escuintla,Santa Rosa,Sololá,Totonicapán,Quetzaltenango,Suchitepéquez,Retalhuleu,San Marcos,Huehuetenango,Quiché,Baja Verapaz,Alta Verapaz,Petén,Izabal,Zacapa,Chiquimula,Jalapa,Jutiapa,Extranjero,Ignorado,Anio
58,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
Ignorado,118,12,0,1,4,7,0,4,0,3,0,0,7,0,1,1,1,1,1,5,4,1,2,0,63,17
Todas las edades,383263,64735,3920,6545,15540,16321,8228,10168,12945,20050,13623,8236,29426,38156,30168,8030,34819,15427,10130,5835,10698,9305,10536,339,83,18
10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,18
11,10,1,0,0,0,2,0,1,0,0,0,0,0,2,0,0,1,0,1,0,1,1,0,0,0,18
12,79,7,0,1,1,4,0,0,1,2,6,1,5,11,6,2,9,12,0,0,2,5,4,0,0,18
13,339,36,3,2,4,17,13,6,6,19,9,8,28,47,22,6,34,28,22,5,7,9,7,1,0,18
14,1574,194,11,21,31,67,41,33,32,78,54,23,131,213,120,22,155,124,70,21,45,53,34,0,1,18
15,4894,529,41,67,103,240,121,97,94,274,154,94,423,669,387,101,518,329,154,75,151,150,121,2,0,18
16,9971,1133,113,153,271,449,219,191,259,590,361,208,817,1209,848,207,1036,568,328,161,307,277,263,3,0,18
17,15298,1845,146,226,438,719,310,334,432,807,517,332,1283,1846,1256,367,1701,708,475,279,435,411,427,4,0,18
18,19707,2683,195,279,627,938,485,436,570,1013,722,426,1646,2098,1566,435,2088,970,610,321,556,498,531,14,0,18
19,22745,3306,265,390,836,1061,554,506,636,1204,896,532,1796,2487,1705,514,2179,987,692,334,636,582,635,12,0,18
20,24301,3748,245,389,902,1148,593,575,739,1241,909,545,1940,2489,1868,512,2382,1073,689,409,672,570,644,19,0,18
21,23983,3768,272,392,928,1124,561,526,803,1274,979,580,1868,2383,1859,531,2213,1019,659,361,661,554,647,21,0,18
22,23833,3979,279,398,973,1127,575,591,842,1209,944,541,1860,2311,1790,488,2139,923,686,346,619,550,641,22,0,18
23,23094,4049,261,411,911,1104,520,582,808,1222,902,554,1713,2121,1670,467,2069,924,653,362,587,554,635,15,0,18
24,21914,3838,222,382,926,1023,448,558,759,1139,863,497,1632,2047,1759,480,1862,832,595,326,593,527,582,23,1,18
25,20178,3645,203,368,841,919,421,531,760,1078,742,467,1470,1784,1560,438,1691,817,546,306,542,472,563,14,0,18
26,19035,3474,202,374,810,893,389,485,666,1031,669,417,1442,1807,1460,374,1495,683,465,277,543,490,571,18,0,18
27,17906,3301,200,376,795,807,376,496,671,952,622,399,1328,1733,1329,332,1446,600,431,283,494,422,497,16,0,18
28,16921,3287,151,312,726,753,365,474,597,923,604,379,1202,1599,1228,342,1400,576,387,282,448,381,480,25,0,18
29,15385,3086,164,287,666,601,303,413,513,845,527,315,1036,1411,1207,337,1244,577,393,247,420,333,444,16,0,18
30,14315,2745,147,261,655,554,274,389,519,761,489,299,1071,1310,1084,309,1194,511,342,202,438,342,405,14,0,18
31,12754,2437,129,232,590,459,278,401,455,641,396,273,958,1228,986,257,1036,498,278,188,361,311,352,10,0,18
32,11819,2284,132,208,518,427,222,365,420,632,384,228,878,1044,902,247,1063,413,269,191,345,298,332,17,0,18
33,10726,2105,112,159,506,363,186,336,379,606,338,208,799,1026,854,196,927,395,242,154,298,235,291,10,1,18
34,9511,1774,75,197,470,319,171,291,352,492,298,176,683,905,812,178,883,319,226,152,265,213,253,7,0,18
35,8492,1640,77,140,362,267,187,286,310,412,241,166,650,810,709,151,765,301,185,104,270,217,231,11,0,18
36,7445,1425,56,132,329,230,133,255,244,382,251,133,544,771,586,170,692,254,167,94,213,165,208,11,0,18
37,6571,1217,62,114,313,211,140,217,236,312,201,113,453,646,557,128,639,250,148,90,198,163,154,9,0,18
38,5452,970,41,89,259,154,73,199,198,243,166,85,396,562,537,99,501,209,124,78,167,129,172,1,0,18
39,4449,762,40,63,211,104,76,157,172,210,126,65,393,474,459,89,410,152,86,59,124,108,106,3,0,18
40,3544,537,32,39,178,78,68,135,151,145,85,65,317,336,370,88,359,120,80,44,101,102,108,6,0,18
41,2675,382,15,34,135,65,41,124,119,122,62,49,238,292,249,55,281,99,48,36,71,69,79,10,0,18
42,1718,219,14,17,88,31,33,73,71,84,56,28,146,187,166,57,198,49,41,22,50,46,40,2,0,18
43,1140,147,6,19,69,30,26,47,54,40,21,14,103,145,116,29,100,54,12,11,33,30,33,1,0,18
44,667,88,4,3,35,14,12,34,40,29,16,8,71,73,69,10,52,25,12,2,18,27,24,1,0,18
45,331,36,3,6,18,6,9,13,19,21,7,4,35,35,36,6,25,12,5,4,16,5,10,0,0,18
46,170,13,2,2,7,6,1,4,9,8,4,3,24,18,20,3,18,4,5,3,5,4,7,0,0,18
47,65,10,0,0,4,1,2,0,0,1,0,1,19,5,6,0,3,5,1,0,2,2,3,0,0,18
48,36,7,0,0,1,1,0,4,3,3,1,0,8,3,3,0,0,1,1,0,0,0,0,0,0,18
49,31,1,0,0,2,0,1,1,0,1,0,0,4,8,3,0,3,3,0,1,1,0,2,0,0,18
50,12,3,0,0,0,2,0,1,0,0,0,0,1,0,0,0,3,1,0,0,1,0,0,0,0,18
51,11,1,0,1,0,0,0,0,1,0,0,0,2,4,0,0,0,1,0,0,1,0,0,0,0,18
52,9,3,0,0,0,0,0,0,1,0,0,0,0,3,0,0,1,0,0,1,0,0,0,0,0,18
53,4,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,18
54,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,18
55,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,18
57,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,18
58,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,18
59,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,18
Ignorado,139,20,0,1,1,3,1,0,2,3,1,0,11,3,1,2,2,1,2,4,0,0,0,1,80,18
Todas las edades,366855,59563,3709,6341,15192,15437,8024,10021,12507,19461,13252,7752,27460,36881,29288,7831,34614,14851,9393,5460,10123,8931,10357,339,68,19
11,11,1,0,0,0,2,0,0,0,1,1,0,0,1,0,0,1,1,1,0,1,1,0,0,0,19
12,60,6,2,1,1,3,1,1,3,4,1,1,5,5,2,2,9,4,2,2,3,0,2,0,0,19
13,351,26,1,3,7,30,5,3,6,18,11,11,22,46,33,7,42,26,12,4,13,17,8,0,0,19
14,1492,142,11,27,31,64,26,28,25,75,55,35,122,183,137,38,175,129,40,27,56,34,31,0,1,19
15,4309,446,41,52,95,196,87,67,109,285,130,95,362,599,300,86,482,287,150,50,132,134,122,2,0,19
16,9220,966,81,130,247,432,221,182,212,477,266,200,817,1168,730,176,1101,581,294,125,282,270,256,3,3,19
17,13680,1514,130,198,420,617,297,268,398,757,451,304,1136,1674,1175,318,1607,668,449,194,381,346,370,4,4,19
18,18410,2416,193,299,618,920,444,407,532,955,643,393,1463,2010,1460,420,2070,880,594,283,463,417,519,11,0,19
19,22365,3141,267,362,784,1066,552,504,626,1158,816,465,1651,2477,1793,514,2380,1011,646,339,639,564,597,13,0,19
20,22838,3309,231,394,888,1066,521,558,701,1206,873,503,1731,2411,1759,499,2284,968,702,345,641,578,658,12,0,19
21,23191,3518,241,408,888,1073,553,603,672,1169,924,534,1757,2361,1857,489,2178,1043,655,396,628,587,639,18,0,19
22,22910,3578,252,380,946,1050,511,576,754,1214,908,554,1676,2276,1792,541,2137,960,638,359,578,563,656,11,0,19
23,22069,3626,227,390,915,994,526,570,782,1132,911,543,1618,2096,1728,453,2055,871,586,339,544,554,598,11,0,19
24,21051,3546,224,352,891,947,486,527,751,1095,843,474,1599,1928,1657,434,1849,790,598,330,590,501,617,22,0,19
25,19968,3341,182,369,861,898,446,494,726,1083,801,435,1455,1899,1612,428,1732,789,517,312,533,470,570,14,1,19
26,18464,3322,209,330,817,807,416,518,692,1053,711,410,1347,1647,1397,328,1610,719,406,288,518,399,500,20,0,19
27,17139,3031,177,339,798,759,390,489,628,941,647,379,1288,1538,1331,397,1341,631,395,246,448,429,495,21,1,19
28,16156,2959,176,304,727,720,292,469,661,864,591,366,1143,1564,1268,317,1288,521,370,256,442,376,464,18,0,19
29,15292,2853,172,278,709,641,319,432,578,821,553,321,1066,1411,1170,323,1267,547,361,230,400,353,461,26,0,19
30,13782,2675,154,269,626,549,289,419,535,708,467,267,977,1260,1070,266,1160,476,277,222,352,327,418,18,1,19
31,12800,2396,131,244,630,473,276,393,452,684,432,226,917,1262,932,280,1129,437,283,204,371,256,373,19,0,19
32,11140,2189,95,217,498,392,222,347,387,611,333,203,767,1054,873,228,968,393,250,145,320,285,345,18,0,19
33,10156,1871,115,171,476,345,217,328,344,549,372,171,725,1007,825,210,908,351,220,130,291,225,294,10,1,19
34,9335,1792,85,166,416,291,186,297,334,494,325,175,666,876,776,197,877,347,173,121,264,228,231,18,0,19
35,8037,1493,70,145,364,256,163,311,271,448,231,156,592,810,640,160,745,277,150,103,231,181,235,5,0,19
36,7263,1303,57,124,336,231,139,248,300,394,231,102,499,722,626,154,705,249,138,86,211,193,207,8,0,19
37,6084,1068,43,90,294,160,118,207,218,345,184,109,462,620,448,139,630,224,117,84,181,174,160,9,0,19
38,5166,914,39,83,252,140,89,179,210,253,164,95,414,504,461,117,476,186,103,68,150,120,145,4,0,19
39,4233,734,32,64,204,109,68,158,179,195,127,74,313,419,405,94,402,158,75,51,135,101,127,9,0,19
40,3282,517,27,67,127,71,59,139,124,171,89,48,283,332,352,67,329,97,62,33,118,78,90,2,0,19
41,2431,358,13,37,117,42,35,113,105,123,64,32,241,278,228,53,263,83,38,27,74,53,51,3,0,19
42,1789,242,15,18,96,48,29,80,88,93,41,26,142,176,174,45,184,74,42,26,57,42,48,3,0,19
43,1053,129,10,18,50,19,20,46,43,35,25,23,92,119,116,18,112,27,28,15,37,39,31,1,0,19
44,606,74,3,4,35,15,13,28,35,24,16,8,50,53,83,19,54,19,6,7,21,14,23,2,0,19
45,309,24,2,7,20,5,4,15,13,5,9,5,31,39,33,6,39,12,10,4,6,13,6,1,0,19
46,138,11,1,0,4,2,1,9,7,12,2,5,6,24,18,3,13,4,1,3,2,5,4,1,0,19
47,82,8,0,0,2,0,3,3,4,4,1,1,6,16,16,4,5,1,2,0,3,2,1,0,0,19
48,42,8,0,0,1,1,0,3,0,3,0,1,4,9,3,0,2,4,0,2,1,0,0,0,0,19
49,23,2,0,0,0,1,0,0,0,1,0,0,4,3,5,1,1,1,1,0,2,0,1,0,0,19
50,9,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,1,0,0,2,0,0,0,0,19
51,11,1,0,0,0,0,0,0,0,0,1,0,3,1,2,0,0,2,0,0,0,0,1,0,0,19
52,6,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,19
53,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,19
54,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,19
55,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
56,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
57,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,19
59,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,19
Ignorado,92,11,0,0,1,2,0,0,1,1,1,1,6,1,0,0,1,1,1,4,0,0,2,2,56,19
Todas las edades,341212,54807,3560,6064,14090,14102,7696,9373,11838,17911,12066,7075,26191,33839,28045,7274,31582,13358,8919,5000,9693,8457,9936,223,113,20
11,6,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,2,0,0,0,1,0,0,0,20
12,45,4,0,1,1,0,4,0,1,1,0,0,5,3,7,0,6,7,1,0,1,0,2,0,1,20
13,298,25,4,4,6,18,4,5,5,22,6,3,32,39,18,5,30,26,7,9,10,11,8,0,1,20
14,1229,118,14,11,13,58,26,15,28,66,47,21,103,178,109,35,136,74,49,21,26,49,31,1,0,20
15,3881,350,44,34,86,169,72,71,82,223,124,74,338,525,364,90,471,234,152,60,109,108,101,0,0,20
16,8097,820,78,91,193,384,185,158,210,432,236,179,711,1072,739,166,955,440,267,129,219,205,225,3,0,20
17,12051,1258,123,189,359,533,280,259,286,615,391,212,1040,1535,1048,285,1425,602,374,180,384,356,312,3,2,20
18,16152,1991,168,255,508,764,370,349,484,794,559,351,1277,1785,1344,353,1858,717,540,248,503,465,463,5,1,20
19,20229,2727,223,373,748,950,504,473,563,959,797,430,1517,2078,1702,456,2227,881,609,308,581,557,556,8,2,20
20,21980,3062,256,363,814,1029,545,500,718,1072,859,495,1654,2249,1783,483,2258,1004,655,365,623,555,630,8,0,20
21,21848,3228,245,399,856,1001,518,526,691,1072,874,481,1715,2257,1771,478,2041,921,608,355,644,514,642,7,4,20
22,21300,3108,220,396,828,981,510,495,637,1060,872,501,1639,2093,1768,457,1971,907,657,349,620,582,641,6,2,20
23,20701,3202,228,367,851,945,517,515,746,1063,777,445,1507,2027,1719,479,1854,883,608,329,524,474,632,6,3,20
24,19781,3200,221,405,859,854,481,526,715,1028,736,465,1504,1810,1565,451,1791,746,490,317,565,482,552,16,2,20
25,18999,3140,183,363,823,802,450,528,722,1039,733,419,1378,1795,1459,391,1648,740,483,276,576,437,601,10,3,20
26,18004,3080,193,338,777,814,412,458,674,968,702,437,1383,1640,1391,368,1536,642,474,267,476,441,519,11,3,20
27,16503,3024,158,295,750,661,365,439,674,899,622,378,1247,1436,1327,338,1321,580,404,215,406,408,533,15,8,20
28,14839,2702,173,305,634,605,369,439,549,845,523,264,1160,1346,1195,273,1178,495,323,182,400,397,470,11,1,20
29,14056,2605,142,247,651,614,302,436,555,791,439,286,1061,1307,1167,263,1112,456,310,210,370,295,413,19,5,20
30,13152,2616,129,242,629,483,279,423,492,788,441,260,941,1189,992,287,1050,440,285,153,355,280,386,11,1,20
31,11707,2329,134,200,550,410,219,359,456,662,420,238,850,1054,918,240,958,403,238,141,319,268,334,6,1,20
32,10545,2065,108,197,485,358,209,357,394,557,325,193,765,969,861,213,849,351,252,144,326,260,297,10,0,20
33,9520,1830,88,183,447,343,174,328,328,505,283,186,728,906,787,171,843,310,192,137,282,209,253,6,1,20
34,8297,1563,87,150,418,265,171,277,293,458,265,134,616,738,635,189,736,284,189,113,249,210,244,12,1,20
35,7670,1460,79,135,354,247,173,279,308,413,211,139,568,721,616,131,680,263,168,99,211,180,229,6,0,20
36,6675,1258,60,128,310,200,120,254,233,370,189,114,495,668,575,149,579,221,134,89,191,141,184,10,3,20
37,5720,1045,60,102,256,165,106,227,220,315,170,92,470,532,494,145,508,179,107,69,161,138,150,9,0,20
38,4804,881,37,81,249,141,95,192,173,260,111,74,369,498,399,93,406,162,97,54,156,122,144,8,2,20
39,3977,707,37,72,185,119,76,149,175,205,104,70,304,395,320,86,372,117,75,57,140,97,109,6,0,20
40,3098,506,23,52,135,70,64,124,114,143,84,49,283,327,308,67,263,98,66,44,103,78,92,5,0,20
41,2290,357,17,36,125,46,42,85,127,121,63,32,197,254,226,50,216,48,36,23,69,47,70,3,0,20
42,1588,261,15,21,82,30,23,48,74,78,48,25,131,162,191,30,137,49,27,17,42,45,50,2,0,20
43,995,154,8,15,56,24,13,34,61,40,28,11,78,128,118,27,73,29,13,20,21,24,20,0,0,20
44,542,65,2,3,27,8,6,20,25,24,15,11,66,52,62,12,51,25,16,9,14,11,18,0,0,20
45,268,31,1,5,14,7,7,10,12,11,10,2,25,30,28,8,23,11,8,5,4,4,12,0,0,20
46,139,19,2,3,5,2,3,7,6,5,0,1,16,19,15,3,10,4,2,1,5,4,7,0,0,20
47,64,5,0,1,3,1,2,3,6,2,1,1,4,8,11,1,6,2,1,1,2,0,3,0,0,20
48,30,0,0,0,2,1,0,2,0,3,0,0,5,2,3,0,3,1,1,0,4,1,2,0,0,20
49,20,3,0,0,1,0,0,2,0,0,0,0,3,4,2,1,1,1,0,1,0,0,1,0,0,20
50,7,2,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,2,0,0,0,0,0,0,0,20
51,4,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,20
52,5,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,20
53,4,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,20
54,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,20
55,4,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,20
56,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,20
57,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
58,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20
Ignorado,81,4,0,0,0,0,0,0,0,1,0,0,2,2,0,0,0,0,1,3,1,1,0,0,66,20
Todas las edades,345149,51191,3405,5813,14151,14189,7509,9602,12128,17875,12264,6908,26241,35558,29303,7458,33326,14095,9089,5376,10388,8707,10170,328,75,21
11,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,1,0,0,0,0,0,0,0,21
12,52,5,0,1,1,2,0,0,1,2,1,0,5,5,6,0,6,9,3,2,1,1,1,0,0,21
13,340,31,1,9,5,9,9,7,7,14,5,6,31,45,23,4,44,34,14,11,10,11,9,1,0,21
14,1407,95,11,12,28,56,36,20,26,63,39,21,112,221,122,36,190,116,67,28,36,40,31,1,0,21
15,4001,295,34,36,92,185,97,76,91,194,105,75,367,602,350,93,503,249,148,65,115,122,101,3,3,21
16,8489,715,91,98,214,385,194,157,198,407,232,180,781,1181,798,184,1050,464,333,132,215,221,247,9,3,21
17,12261,1152,117,143,384,474,284,244,344,599,412,242,1079,1745,1087,280,1423,551,411,213,375,350,341,11,0,21
18,16437,1730,139,243,549,764,394,359,473,804,536,361,1319,1937,1470,345,1908,780,548,283,578,434,478,5,0,21
19,19543,2291,214,316,724,975,487,415,579,990,690,371,1509,2138,1668,407,2205,901,635,329,595,525,564,14,1,21
20,21432,2730,205,356,756,1029,473,520,668,987,821,457,1537,2333,1821,532,2369,970,658,369,666,550,609,16,0,21
21,22101,3008,242,381,877,1038,527,538,685,1048,842,456,1639,2325,1861,505,2224,968,632,382,678,578,656,10,1,21
22,21162,2937,244,367,844,988,525,526,725,1073,835,440,1558,2190,1679,484,1973,923,601,346,641,583,669,11,0,21
23,20694,3005,225,343,840,910,470,533,711,1013,855,468,1548,2010,1768,430,1972,917,588,346,619,495,612,12,4,21
24,19614,2939,207,336,855,850,452,518,701,1052,779,426,1413,1900,1683,445,1777,796,525,320,547,479,599,14,1,21
25,19309,3063,174,327,815,838,389,548,745,984,811,414,1444,1835,1585,374,1758,761,520,291,583,471,563,16,0,21
26,18174,2863,193,323,822,764,410,494,708,959,730,413,1330,1672,1463,412,1646,732,442,276,554,439,514,15,0,21
27,16639,2701,156,307,747,694,356,482,719,907,671,362,1191,1516,1367,352,1464,644,383,249,461,374,516,19,1,21
28,15509,2700,151,269,665,628,328,438,557,905,577,322,1149,1374,1253,339,1320,589,365,233,471,365,489,21,1,21
29,14052,2421,133,266,622,525,300,438,540,775,517,281,1077,1307,1168,291,1153,523,303,213,412,336,437,14,0,21
30,13274,2444,133,242,628,523,273,419,495,718,420,234,1014,1282,1080,272,1091,409,277,181,388,328,403,20,0,21
31,12283,2196,133,255,554,488,247,381,508,698,376,225,899,1065,1054,265,1032,476,260,156,366,289,341,18,1,21
32,10868,2012,112,197,497,370,187,381,405,617,357,190,853,992,859,209,920,378,223,171,295,290,341,12,0,21
33,9823,1864,92,159,453,323,191,346,367,510,305,206,690,976,772,201,839,382,199,129,305,221,284,8,1,21
34,8561,1491,66,134,391,292,164,278,329,482,260,150,623,873,722,160,767,290,192,137,272,214,254,19,1,21
35,7715,1347,63,158,358,226,172,279,282,427,222,121,621,761,682,154,718,228,168,99,225,177,219,8,0,21
36,6951,1246,62,129,294,225,115,232,238,362,196,103,536,719,615,138,668,223,129,113,224,173,198,13,0,21
37,5931,1048,66,94,267,156,108,201,234,337,169,104,428,609,561,118,545,176,128,93,168,157,158,6,0,21
38,4958,797,47,82,220,126,98,215,198,256,143,99,373,532,464,125,454,171,93,63,140,107,151,4,0,21
39,4028,630,36,67,189,121,66,154,172,247,99,52,310,398,352,88,394,130,72,51,154,119,121,6,0,21
40,3188,545,13,57,162,94,53,137,126,147,75,41,228,338,275,76,324,105,44,36,95,93,115,9,0,21
41,2412,362,17,44,104,55,39,97,113,126,80,42,204,233,251,55,249,67,46,24,77,69,56,2,0,21
42,1668,228,12,32,78,35,31,79,72,75,37,20,145,190,191,39,160,64,28,11,58,38,41,4,0,21
43,1010,157,9,19,54,26,16,38,49,44,21,13,103,92,112,23,87,27,29,8,26,30,25,2,0,21
44,562,73,2,6,33,5,12,26,37,16,24,5,55,75,65,5,45,16,12,10,14,14,11,1,0,21
45,308,34,4,2,11,6,5,12,17,20,9,4,30,40,27,11,26,13,3,0,13,6,13,2,0,21
46,155,16,1,0,11,0,0,8,7,4,9,1,16,19,24,2,15,3,4,3,5,4,3,0,0,21
47,72,4,0,3,4,2,1,4,1,7,1,1,9,9,10,1,2,3,2,1,6,1,0,0,0,21
48,28,4,0,0,1,0,0,1,0,4,1,1,3,7,2,2,0,1,0,0,0,1,0,0,0,21
49,14,2,0,0,0,0,0,0,0,1,0,0,1,3,4,0,1,2,0,0,0,0,0,0,0,21
50,10,0,0,0,1,0,0,1,0,0,0,0,3,2,2,0,0,0,0,0,0,1,0,0,0,21
51,4,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,21
52,6,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,21
53,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,21
54,5,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,21
55,3,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,21
56,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,21
57,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,21
58,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,21
Ignorado,82,8,0,0,0,2,0,0,0,1,2,0,3,3,0,0,0,0,3,2,0,0,0,1,57,21
