Edad de la madre,Total,1,2,3,4,5,6,7,8,9,10 y más,Ignorado,Anio
21,25259,11075,9704,3565,652,79,12,0,0,0,0,172,16
22,24034,8865,9160,4473,1192,161,21,0,0,0,0,162,16
23,23321,7305,8634,5147,1680,344,57,4,0,0,0,150,16
24,21710,5778,7787,5234,2089,573,104,15,0,0,0,130,16
25,20720,4782,6846,5343,2506,885,190,42,2,0,0,124,16
26,20074,4082,6317,5270,2674,1200,312,72,16,4,0,127,16
27,18411,3338,5290,4808,2788,1335,545,143,22,2,0,140,16
28,17223,2761,4670,4294,2808,1583,714,246,50,10,0,87,16
29,15490,2237,3784,3880,2568,1533,859,383,101,32,1,112,16
30,14379,1905,3188,3339,2429,1730,1037,430,189,37,8,87,16
31,13536,1606,2826,3060,2288,1634,1082,592,259,69,27,93,16
32,12047,1245,2259,2538,1990,1536,1179,710,344,120,62,64,16
33,11315,1106,1822,2187,1839,1496,1229,789,459,189,112,87,16
34,9970,897,1491,1796,1561,1365,1104,776,525,262,122,71,16
35,9059,771,1286,1507,1392,1165,961,819,556,323,228,51,16
36,7989,597,981,1184,1134,1048,939,770,639,364,280,53,16
37,6606,477,667,922,863,836,770,719,572,363,372,45,16
38,5639,370,579,654,612,660,720,617,542,411,441,33,16
39,4601,250,374,464,501,512,546,558,515,336,514,31,16
40,3408,172,285,327,292,347,400,403,385,310,459,28,16
41,2581,127,179,203,222,228,284,298,285,265,469,21,16
42,1805,91,89,127,144,156,172,211,218,161,427,9,16
43,1210,60,72,68,86,125,107,128,137,137,284,6,16
44,683,35,31,35,43,68,57,77,82,71,177,7,16
45,361,17,11,21,26,17,30,45,47,42,103,2,16
46,168,8,4,7,17,13,9,21,11,15,62,1,16
47,87,7,11,6,4,7,3,7,9,7,26,0,16
48,39,3,3,3,3,1,4,4,1,3,14,0,16
49,27,1,4,3,0,5,5,1,3,2,3,0,16
50,20,2,4,3,0,1,1,1,1,2,4,1,16
51,13,4,1,2,1,2,1,0,0,0,2,0,16
52,8,0,1,0,0,3,1,0,0,0,2,1,16
53,4,0,0,0,0,1,0,0,2,0,0,1,16
54,7,1,0,0,0,0,0,0,3,0,3,0,16
55,3,0,0,0,1,0,0,0,1,0,1,0,16
56,2,0,0,0,0,0,0,0,1,0,1,0,16
57,4,1,0,0,0,0,2,1,0,0,0,0,16
58,3,1,0,0,1,0,0,1,0,0,0,0,16
59,1,0,0,0,0,0,0,0,0,1,0,0,16
Ignorado,101,12,2,6,3,1,1,0,0,0,0,76,16
Todas las edades,381664,131641,98996,62309,32366,18825,11832,7700,5158,3139,3784,5914,17
10,1,1,0,0,0,0,0,0,0,0,0,0,17
11,10,10,0,0,0,0,0,0,0,0,0,0,17
12,62,59,1,0,0,0,0,0,0,0,0,2,17
13,374,350,9,0,0,0,0,0,0,0,0,15,17
14,1574,1504,29,0,0,0,0,0,0,0,0,41,17
15,4832,4575,168,6,1,0,0,0,0,0,0,82,17
16,10351,9284,864,33,3,0,0,0,0,0,0,167,17
17,15705,12985,2319,160,5,3,0,0,0,0,0,233,17
18,18889,13874,4212,456,31,4,0,0,0,0,0,312,17
19,22575,14131,6799,1142,99,11,3,1,1,0,0,388,17
20,24023,12962,8130,2254,251,27,2,1,0,1,0,395,17
21,24304,11177,8856,3278,547,49,7,2,1,0,0,387,17
22,24069,9234,9103,4147,1012,156,27,1,2,0,0,387,17
23,22662,7392,8346,4673,1534,313,40,4,2,0,1,357,17
24,21649,6126,7618,4957,1994,532,69,16,3,0,0,334,17
25,19810,4920,6607,4807,2237,757,174,33,4,2,0,269,17
26,18958,4102,5811,4816,2446,1146,299,66,8,1,0,263,17
27,18024,3419,5327,4719,2496,1261,426,103,19,5,1,248,17
28,16444,2809,4524,4245,2495,1336,577,182,37,8,1,230,17
29,15502,2507,3940,3799,2459,1429,752,286,65,24,5,236,17
30,13919,1893,3257,3396,2253,1422,870,446,138,32,5,207,17
31,12769,1629,2646,3001,2107,1435,952,501,207,70,30,191,17
32,11876,1367,2308,2666,1913,1391,1011,570,294,116,49,191,17
33,10591,1176,1887,2142,1686,1316,998,627,359,151,99,150,17
34,9573,911,1551,1758,1432,1218,1063,688,461,211,130,150,17
35,8697,805,1264,1582,1301,1054,863,711,543,278,167,129,17
36,7580,676,995,1195,1095,946,820,685,533,297,235,103,17
37,6552,492,793,966,914,799,725,620,494,337,323,89,17
38,5405,380,551,754,641,632,623,574,451,339,398,62,17
39,4412,291,389,492,484,539,462,502,421,339,426,67,17
40,3518,228,277,354,343,400,363,369,369,280,484,51,17
41,2586,131,180,225,260,283,312,258,267,225,417,28,17
42,1716,98,105,144,128,155,163,196,196,154,356,21,17
