Mes,Departamento de residencia,Total,Hombres,Mujeres,Anio
Agosto,Guatemala,5037,2566,2471,09
Agosto,El Progreso,337,192,145,09
Agosto,Sacatepéquez,575,294,281,09
Agosto,Chimaltenango,1269,641,628,09
Agosto,Escuintla,1253,628,625,09
Agosto,Santa Rosa,680,364,316,09
Agosto,Sololá,792,421,371,09
Agosto,Totonicapán,1008,527,481,09
Agosto,Quetzaltenango,1536,793,743,09
Agosto,Suchitepéquez,1106,575,531,09
Agosto,Retalhuleu,611,295,316,09
Agosto,San Marcos,2341,1202,1139,09
Agosto,Huehuetenango,2831,1413,1418,09
Agosto,Quiché,2217,1146,1071,09
Agosto,Baja Verapaz,600,306,294,09
Agosto,Alta Verapaz,2889,1500,1389,09
Agosto,Petén,1347,682,665,09
Agosto,Izabal,890,452,438,09
Agosto,Zacapa,555,298,257,09
Agosto,Chiquimula,849,444,405,09
Agosto,Jalapa,655,359,296,09
Agosto,Jutiapa,934,466,468,09
Agosto,Extranjero,10,8,2,09
Agosto,Ignorado,32,15,17,09
Septiembre,Todos los departamentos,31590,16046,15544,09
Septiembre,Guatemala,5231,2656,2575,09
Septiembre,El Progreso,383,198,185,09
Septiembre,Sacatepéquez,619,328,291,09
Septiembre,Chimaltenango,1251,634,617,09
Septiembre,Escuintla,1273,659,614,09
Septiembre,Santa Rosa,733,368,365,09
Septiembre,Sololá,855,419,436,09
Septiembre,Totonicapán,985,473,512,09
Septiembre,Quetzaltenango,1703,880,823,09
Septiembre,Suchitepéquez,1172,570,602,09
Septiembre,Retalhuleu,661,330,331,09
Septiembre,San Marcos,2410,1249,1161,09
Septiembre,Huehuetenango,2794,1434,1360,09
Septiembre,Quiché,2302,1163,1139,09
Septiembre,Baja Verapaz,672,337,335,09
Septiembre,Alta Verapaz,3019,1529,1490,09
Septiembre,Petén,1292,669,623,09
Septiembre,Izabal,942,483,459,09
Septiembre,Zacapa,527,260,267,09
Septiembre,Chiquimula,948,496,452,09
Septiembre,Jalapa,755,378,377,09
Septiembre,Jutiapa,1013,508,505,09
Septiembre,Extranjero,13,8,5,09
Septiembre,Ignorado,37,17,20,09
Octubre,Todos los departamentos,30505,15592,14913,09
Octubre,Guatemala,4950,2539,2411,09
Octubre,El Progreso,328,167,161,09
Octubre,Sacatepéquez,579,317,262,09
Octubre,Chimaltenango,1264,664,600,09
Octubre,Escuintla,1279,624,655,09
Octubre,Santa Rosa,732,369,363,09
Octubre,Sololá,838,418,420,09
Octubre,Totonicapán,894,457,437,09
Octubre,Quetzaltenango,1657,856,801,09
Octubre,Suchitepéquez,1101,583,518,09
Octubre,Retalhuleu,613,321,292,09
Octubre,San Marcos,2413,1208,1205,09
Octubre,Huehuetenango,2872,1445,1427,09
Octubre,Quiché,2212,1128,1084,09
Octubre,Baja Verapaz,612,329,283,09
Octubre,Alta Verapaz,2851,1456,1395,09
Octubre,Petén,1216,610,606,09
Octubre,Izabal,958,475,483,09
Octubre,Zacapa,485,250,235,09
Octubre,Chiquimula,857,452,405,09
Octubre,Jalapa,721,368,353,09
Octubre,Jutiapa,1017,528,489,09
Octubre,Extranjero,15,5,10,09
Octubre,Ignorado,41,23,18,09
Noviembre,Todos los departamentos,28444,14305,14139,09
Noviembre,Guatemala,4548,2264,2284,09
Noviembre,El Progreso,290,148,142,09
Noviembre,Sacatepéquez,488,233,255,09
Noviembre,Chimaltenango,1188,575,613,09
Noviembre,Escuintla,1178,587,591,09
Noviembre,Santa Rosa,682,306,376,09
Noviembre,Sololá,756,369,387,09
Noviembre,Totonicapán,936,491,445,09
Noviembre,Quetzaltenango,1478,737,741,09
Noviembre,Suchitepéquez,1052,536,516,09
Noviembre,Retalhuleu,651,331,320,09
Noviembre,San Marcos,2204,1142,1062,09
Noviembre,Huehuetenango,2681,1359,1322,09
Noviembre,Quiché,2107,1061,1046,09
Noviembre,Baja Verapaz,586,305,281,09
Noviembre,Alta Verapaz,2735,1364,1371,09
Noviembre,Petén,1183,584,599,09
Noviembre,Izabal,806,407,399,09
Noviembre,Zacapa,458,233,225,09
Noviembre,Chiquimula,832,440,392,09
Noviembre,Jalapa,635,319,316,09
Noviembre,Jutiapa,911,483,428,09
Noviembre,Extranjero,14,8,6,09
Noviembre,Ignorado,45,23,22,09
Diciembre,Todos los departamentos,29879,15130,14749,09
Diciembre,Guatemala,4543,2276,2267,09
Diciembre,El Progreso,287,141,146,09
Diciembre,Sacatepéquez,527,265,262,09
Diciembre,Chimaltenango,1237,626,611,09
Diciembre,Escuintla,1234,643,591,09
