Grupos quinquenales de edad,Total,TotalH,TotalM,Urban,UrbanH,UrbanM,Rural,RuralH,RuralM,Ignorado,IgnoradoH,IgnoradoM,Victima o Agresor,Anio
20 a 24,5251,4712,539,2762,2476,286,2246,2018,228,243,218,25,A,12,
25 a 29,6564,5980,584,3518,3194,324,2750,2514,236,296,272,24,A,12,
30 a 34,6573,5987,586,3656,3310,346,2602,2393,209,315,284,31,A,12,
35 a 39,5079,4621,458,2746,2485,261,2068,1895,173,265,241,24,A,12,
40 a 44,3512,3179,333,1875,1689,186,1473,1345,128,164,145,19,A,12,
45 a 49,2363,2116,247,1321,1174,147,952,861,91,90,81,9,A,12,
50 a 54,1467,1275,192,760,650,110,631,557,74,76,68,8,A,12,
55 a 59,826,737,89,434,387,47,357,320,37,35,30,5,A,12,
60 a 64,517,440,77,258,218,40,236,203,33,23,19,4,A,12,
65 a 69,258,221,37,133,114,19,121,103,18,4,4,0,A,12,
70 a 74,128,109,19,48,41,7,70,59,11,10,9,1,A,12,
75 y más,99,86,13,58,50,8,39,34,5,2,2,0,A,12,
Ignorado,2216,1986,230,1075,946,129,923,842,81,218,198,20,A,12,
Total,36170,3252,32918,19365,1822,17543,14670,1244,13426,2135,186,1949,V,13,
 0  a  4,26,9,17,12,6,6,14,3,11,0,0,0,V,13,
 5  a  9,50,21,29,26,11,15,22,8,14,2,2,0,V,13,
10 a 14,280,39,241,121,20,101,144,17,127,15,2,13,V,13,
15 a 19,3420,144,3276,1636,70,1566,1592,64,1528,192,10,182,V,13,
20 a 24,6780,371,6409,3617,206,3411,2727,142,2585,436,23,413,V,13,
25 a 29,6816,422,6394,3814,266,3548,2609,139,2470,393,17,376,V,13,
30 a 34,6056,480,5576,3378,269,3109,2334,185,2149,344,26,318,V,13,
35 a 39,4287,370,3917,2374,231,2143,1672,116,1556,241,23,218,V,13,
40 a 44,2913,289,2624,1504,161,1343,1241,113,1128,168,15,153,V,13,
45 a 49,1789,238,1551,925,137,788,763,82,681,101,19,82,V,13,
50 a 54,1241,208,1033,669,123,546,506,76,430,66,9,57,V,13,
55 a 59,727,152,575,382,72,310,302,71,231,43,9,34,V,13,
60 a 64,509,150,359,254,77,177,229,64,165,26,9,17,V,13,
65 a 69,304,101,203,155,50,105,128,45,83,21,6,15,V,13,
70 a 74,206,74,132,106,37,69,89,36,53,11,1,10,V,13,
75 a 79,175,71,104,91,38,53,77,31,46,7,2,5,V,13,
80 y más,163,74,89,82,29,53,70,38,32,11,7,4,V,13,
Ignorado,428,39,389,219,19,200,151,14,137,58,6,52,V,13,
Total,36170,32150,4020,19365,17072,2293,14670,13195,1475,2135,1883,252,A,13,
05 a 09,1,1,0,1,1,0,0,0,0,0,0,0,A,13,
10 a 14,34,20,14,18,11,7,12,8,4,4,1,3,A,13,
15 a 19,1352,1121,231,665,539,126,624,531,93,63,51,12,A,13,
20 a 24,5390,4786,604,2860,2511,349,2230,2006,224,300,269,31,A,13,
25 a 29,6495,5853,642,3599,3226,373,2552,2315,237,344,312,32,A,13,
30 a 34,6444,5843,601,3637,3275,362,2453,2256,197,354,312,42,A,13,
35 a 39,5136,4628,508,2793,2494,299,2034,1861,173,309,273,36,A,13,
40 a 44,3398,3028,370,1866,1656,210,1346,1195,151,186,177,9,A,13,
45 a 49,2400,2081,319,1240,1052,188,1022,915,107,138,114,24,A,13,
50 a 54,1565,1327,238,780,651,129,705,607,98,80,69,11,A,13,
55 a 59,837,724,113,452,389,63,341,296,45,44,39,5,A,13,
60 a 64,451,389,62,231,205,26,193,163,30,27,21,6,A,13,
65 a 69,208,182,26,98,87,11,97,82,15,13,13,0,A,13,
70 a 74,102,92,10,53,48,5,41,36,5,8,8,0,A,13,
75 a 79,48,41,7,22,19,3,21,18,3,5,4,1,A,13,
80 y más,40,36,4,17,15,2,16,15,1,7,6,1,A,13,
Ignorado,2269,1998,271,1033,893,140,983,891,92,253,214,39,A,13,
Total,34330,3233,31097,19164,1821,17343,14173,1323,12850,993,89,904,V,14,
 0  a  4,57,29,28,37,16,21,20,13,7,0,0,0,V,14,
 5  a  9,86,44,42,46,23,23,40,21,19,0,0,0,V,14,
10 a 14,304,51,253,154,30,124,141,20,121,9,1,8,V,14,
15 a 19,3316,130,3186,1646,63,1583,1589,67,1522,81,0,81,V,14,
20 a 24,6275,357,5918,3482,199,3283,2610,148,2462,183,10,173,V,14,
25 a 29,6367,447,5920,3654,265,3389,2525,167,2358,188,15,173,V,14,
30 a 34,5648,439,5209,3281,271,3010,2202,165,2037,165,3,162,V,14,
35 a 39,4166,382,3784,2411,225,2186,1657,140,1517,98,17,81,V,14,
40 a 44,2747,270,2477,1541,168,1373,1128,94,1034,78,8,70,V,14,
45 a 49,1721,232,1489,938,130,808,739,100,639,44,2,42,V,14,
50 a 54,1114,183,931,600,99,501,476,78,398,38,6,32,V,14,
55 a 59,725,159,566,401,87,314,295,67,228,29,5,24,V,14,
60 a 64,538,150,388,272,61,211,251,81,170,15,8,7,V,14,
65 a 69,359,113,246,189,51,138,158,58,100,12,4,8,V,14,
70 a 74,210,80,130,117,47,70,87,32,55,6,1,5,V,14,
75 a 79,156,62,94,83,31,52,67,29,38,6,2,4,V,14,
80 y más,164,74,90,83,34,49,75,37,38,6,3,3,V,14,
Ignorado,377,31,346,229,21,208,113,6,107,35,4,31,V,14,
Total,34330,30302,4028,19164,16819,2345,14173,12600,1573,993,883,110,A,14,
10 a 14,33,17,16,14,8,6,17,7,10,2,2,0,A,14,
15 a 19,1273,1033,240,628,517,111,619,494,125,26,22,4,A,14,
20 a 24,5167,4576,591,2769,2425,344,2254,2019,235,144,132,12,A,14,
25 a 29,6084,5450,634,3489,3120,369,2419,2178,241,176,152,24,A,14,
30 a 34,6092,5465,627,3553,3163,390,2376,2154,222,163,148,15,A,14,
35 a 39,4939,4389,550,2757,2441,316,2052,1834,218,130,114,16,A,14,
40 a 44,3191,2838,353,1851,1631,220,1268,1141,127,72,66,6,A,14,
45 a 49,2243,1962,281,1243,1078,165,954,844,110,46,40,6,A,14,
50 a 54,1519,1294,225,823,703,120,647,547,100,49,44,5,A,14,
55 a 59,832,699,133,452,373,79,358,307,51,22,19,3,A,14,
60 a 64,413,354,59,210,178,32,187,163,24,16,13,3,A,14,
65 a 69,269,215,54,142,115,27,121,95,26,6,5,1,A,14,
70 a 74,119,105,14,70,60,10,47,43,4,2,2,0,A,14,
75 a 79,43,39,4,32,30,2,9,8,1,2,1,1,A,14,
80 y más,39,30,9,21,16,5,17,13,4,1,1,0,A,14,
Ignorado,2074,1836,238,1110,961,149,828,753,75,136,122,14,A,14,
Total,31929,3221,28708,18451,1862,16589,12608,1281,11327,870,78,792,V,15,
 0  a  4,44,23,21,20,11,9,24,12,12,0,0,0,V,15,
 5  a  9,85,36,49,52,21,31,32,15,17,1,0,1,V,15,
10 a 14,275,37,238,131,19,112,136,18,118,8,0,8,V,15,
