Grupo de edades,Total,Ninguno,Primaria,Básico,Diversificado,Universitario,Ignorado,Sexo,Victima o Agresor,Anio
60 a 64,440,134,202,26,47,16,15,H,A,12
65 a 69,221,73,95,17,20,7,9,H,A,12
70 a 74,109,42,46,7,8,4,2,H,A,12
75 y más,86,38,31,1,10,3,3,H,A,12
Ignorado,1986,354,544,120,177,27,764,H,A,12
10 a 14,16,1,11,4,0,0,0,M,A,12
15 a 19,205,30,101,50,20,0,4,M,A,12
20 a 24,539,76,213,127,104,9,10,M,A,12
25 a 29,584,99,226,109,125,10,15,M,A,12
30 a 34,586,125,228,84,111,23,15,M,A,12
35 a 39,458,115,191,63,74,9,6,M,A,12
40 a 44,333,100,136,32,42,11,12,M,A,12
45 a 49,247,96,89,16,32,9,5,M,A,12
50 a 54,192,75,78,13,16,3,7,M,A,12
55 a 59,89,31,39,8,4,5,2,M,A,12
60 a 64,77,37,22,5,6,3,4,M,A,12
65 a 69,37,21,9,2,5,0,0,M,A,12
70 a 74,19,12,3,1,2,0,1,M,A,12
75 y más,13,8,2,0,3,0,0,M,A,12
Ignorado,230,50,57,13,29,5,76,M,A,12
07 a 09,16,1,14,0,0,0,1,H,V,13
10 a 14,39,2,30,4,0,0,3,H,V,13
15 a 19,144,10,56,47,26,1,4,H,V,13
20 a 24,371,28,122,81,110,11,19,H,V,13
25 a 29,422,30,132,74,153,18,15,H,V,13
30 a 34,480,45,206,83,116,21,9,H,V,13
35 a 39,370,17,161,61,93,31,7,H,V,13
40 a 44,289,37,129,41,55,22,5,H,V,13
45 a 49,238,36,105,30,33,28,6,H,V,13
50 a 54,208,37,100,26,34,8,3,H,V,13
55 a 59,152,35,69,9,20,9,10,H,V,13
60 a 64,150,55,59,6,15,7,8,H,V,13
65 a 69,101,41,45,5,5,2,3,H,V,13
70 a 74,74,30,36,5,3,0,0,H,V,13
75 a 79,71,27,33,3,4,2,2,H,V,13
80 y más,74,45,23,2,3,1,0,H,V,13
Ignorado,39,4,18,7,4,1,5,H,V,13
07 a 09,21,2,18,0,0,0,1,M,V,13
10 a 14,241,13,172,44,1,0,11,M,V,13
15 a 19,3276,498,1608,768,301,8,93,M,V,13
20 a 24,6409,923,2727,1151,1255,136,217,M,V,13
25 a 29,6394,1102,2680,878,1328,196,210,M,V,13
30 a 34,5576,1234,2289,666,1023,207,157,M,V,13
35 a 39,3917,1016,1648,411,593,141,108,M,V,13
40 a 44,2624,835,1095,218,342,64,70,M,V,13
45 a 49,1551,581,627,123,145,35,40,M,V,13
50 a 54,1033,427,406,61,97,17,25,M,V,13
55 a 59,575,262,204,29,53,14,13,M,V,13
60 a 64,359,171,127,11,37,6,7,M,V,13
65 a 69,203,116,56,10,13,3,5,M,V,13
70 a 74,132,86,30,4,5,0,7,M,V,13
75 a 79,104,68,27,3,3,0,3,M,V,13
80 y más,89,56,23,3,2,2,3,M,V,13
Ignorado,389,74,167,37,68,11,32,M,V,13
05 a 09,1,0,1,0,0,0,0,H,A,13
10 a 14,20,1,13,6,0,0,0,H,A,13
15 a 19,1121,130,571,268,95,3,54,H,A,13
20 a 24,4786,549,2183,1033,816,51,154,H,A,13
25 a 29,5853,686,2520,1060,1244,119,224,H,A,13
30 a 34,5843,765,2660,988,1055,155,220,H,A,13
35 a 39,4628,731,2097,682,797,167,154,H,A,13
40 a 44,3028,514,1475,399,425,93,122,H,A,13
45 a 49,2081,445,1022,237,235,56,86,H,A,13
