Grupos de edad,Total,Alfabeta,Analfabeta,Ignorado,Sexo,Victima o Agresor,Anio
60 a 64,440,320,117,3,H,A,12
65 a 69,221,154,64,3,H,A,12
70 a 74,109,71,38,0,H,A,12
10 a 14,16,15,1,0,M,A,12
15 a 19,205,177,26,2,M,A,12
20 a 24,539,467,66,6,M,A,12
25 a 29,584,502,77,5,M,A,12
30 a 34,586,476,106,4,M,A,12
35 a 39,458,354,103,1,M,A,12
40 a 44,333,248,81,4,M,A,12
45 a 49,247,161,85,1,M,A,12
50 a 54,192,122,68,2,M,A,12
55 a 59,89,61,28,0,M,A,12
60 a 64,77,41,35,1,M,A,12
65 a 69,37,16,21,0,M,A,12
70 a 74,19,8,11,0,M,A,12
Total,3238,2809,411,18,H,V,13
07 a 09,16,15,0,1,H,V,13
10 a 14,39,35,2,2,H,V,13
15 a 19,144,134,10,0,H,V,13
20 a 24,371,349,17,5,H,V,13
25 a 29,422,398,24,0,H,V,13
30 a 34,480,438,40,2,H,V,13
35 a 39,370,358,12,0,H,V,13
40 a 44,289,257,32,0,H,V,13
45 a 49,238,206,31,1,H,V,13
50 a 54,208,177,31,0,H,V,13
55 a 59,152,118,32,2,H,V,13
60 a 64,150,103,46,1,H,V,13
65 a 69,101,63,38,0,H,V,13
70 a 74,74,47,27,0,H,V,13
75 a 79,71,49,22,0,H,V,13
80 y más,74,31,43,0,H,V,13
Ignorado,39,31,4,4,H,V,13
Total,32893,26046,6654,193,M,V,13
07 a 09,21,18,2,1,M,V,13
10 a 14,241,222,12,7,M,V,13
15 a 19,3276,2848,409,19,M,V,13
20 a 24,6409,5585,797,27,M,V,13
25 a 29,6394,5384,975,35,M,V,13
30 a 34,5576,4472,1091,13,M,V,13
35 a 39,3917,2977,912,28,M,V,13
40 a 44,2624,1844,759,21,M,V,13
45 a 49,1551,1014,530,7,M,V,13
50 a 54,1033,621,404,8,M,V,13
55 a 59,575,339,233,3,M,V,13
60 a 64,359,197,160,2,M,V,13
65 a 69,203,94,107,2,M,V,13
70 a 74,132,47,82,3,M,V,13
75 a 79,104,36,66,2,M,V,13
80 y más,89,34,54,1,M,V,13
Ignorado,389,314,61,14,M,V,13
05 a 09,1,1,0,0,H,A,13
10 a 14,20,19,1,0,H,A,13
15 a 19,1121,998,106,17,H,A,13
20 a 24,4786,4299,442,45,H,A,13
25 a 29,5853,5232,559,62,H,A,13
30 a 34,5843,5153,635,55,H,A,13
35 a 39,4628,3989,604,35,H,A,13
40 a 44,3028,2574,431,23,H,A,13
45 a 49,2081,1662,388,31,H,A,13
50 a 54,1327,1014,301,12,H,A,13
55 a 59,724,540,176,8,H,A,13
60 a 64,389,276,109,4,H,A,13
65 a 69,182,131,49,2,H,A,13
05 a 09,0,0,0,0,M,A,13
10 a 14,14,14,0,0,M,A,13
15 a 19,231,208,18,5,M,A,13
20 a 24,604,528,71,5,M,A,13
25 a 29,642,539,99,4,M,A,13
30 a 34,601,491,100,10,M,A,13
35 a 39,508,404,100,4,M,A,13
40 a 44,370,267,99,4,M,A,13
45 a 49,319,222,91,6,M,A,13
50 a 54,238,147,90,1,M,A,13
55 a 59,113,69,44,0,M,A,13
60 a 64,62,31,30,1,M,A,13
65 a 69,26,11,15,0,M,A,13
Total,3188,2728,440,20,H,V,14
07 a 09,28,22,4,2,H,V,14
10 a 14,51,48,2,1,H,V,14
15 a 19,130,121,9,0,H,V,14
