Grupos de edad,Total,Soltero(a),Casado(a),Unido(a),Ignorado,Madre o Padre,Anio
50 y más,57,26,31,0,0,Madre,17
Ignorado,118,34,6,0,78,Madre,17
Todas las edades,381664,172055,155372,738,53499,Padre,17
Menos de 15,20,20,0,0,0,Padre,17
15 - 19,17467,15867,1599,0,1,Padre,17
20 - 24,85641,58631,26987,20,3,Padre,17
25 - 29,84489,42873,41558,41,17,Padre,17
30 - 34,62689,25857,36698,122,12,Padre,17
35 - 39,41405,15343,25856,195,11,Padre,17
40 - 44,21379,7595,13595,186,3,Padre,17
45 - 49,8730,3105,5521,100,4,Padre,17
50 y más,6380,2747,3556,74,3,Padre,17
Ignorado,53464,17,2,0,53445,Padre,17
Todas las edades,383263,234025,148472,545,221,Madre,18
Menos de 15,2004,2004,0,0,0,Madre,18
15 - 19,72615,65379,7218,3,15,Madre,18
20 - 24,117125,76103,40949,28,45,Madre,18
25 - 29,89425,46362,42983,47,33,Madre,18
30 - 34,59125,26590,32369,153,13,Madre,18
35 - 39,32409,13469,18736,188,16,Madre,18
40 - 44,9744,3819,5810,114,1,Madre,18
45 - 49,633,233,389,11,0,Madre,18
50 y más,44,27,16,1,0,Madre,18
Ignorado,139,39,2,0,98,Madre,18
Todas las edades,383263,175404,152942,617,54300,Padre,18
Menos de 15,22,22,0,0,0,Padre,18
15 - 19,17529,16109,1420,0,0,Padre,18
20 - 24,85266,60213,25035,7,11,Padre,18
25 - 29,85779,44471,41249,34,25,Padre,18
30 - 34,62506,26056,36352,80,18,Padre,18
35 - 39,41309,15297,25819,187,6,Padre,18
40 - 44,21622,7524,13939,153,6,Padre,18
45 - 49,8777,3120,5574,80,3,Padre,18
50 y más,6217,2579,3554,76,8,Padre,18
Ignorado,54236,13,0,0,54223,Padre,18
Todas las edades,366855,225006,141097,499,253,Madre,19
Menos de 15,1914,1913,0,0,1,Madre,19
15 - 19,67984,62004,5895,3,82,Madre,19
20 - 24,112059,73515,38481,18,45,Madre,19
25 - 29,87019,44930,42002,57,30,Madre,19
30 - 34,57213,25844,31201,142,26,Madre,19
35 - 39,30783,12961,17637,172,13,Madre,19
40 - 44,9161,3553,5510,94,4,Madre,19
45 - 49,594,229,352,12,1,Madre,19
50 y más,36,17,18,1,0,Madre,19
Ignorado,92,40,1,0,51,Madre,19
Todas las edades,366855,169588,145167,594,51506,Padre,19
Menos de 15,14,14,0,0,0,Padre,19
15 - 19,16647,15449,1195,0,3,Padre,19
20 - 24,81583,58469,23088,8,18,Padre,19
25 - 29,82653,43117,39467,44,25,Padre,19
30 - 34,60280,25130,35044,85,21,Padre,19
35 - 39,39296,14618,24512,151,15,Padre,19
40 - 44,20696,7286,13261,141,8,Padre,19
45 - 49,8280,2980,5214,80,6,Padre,19
50 y más,5989,2515,3384,85,5,Padre,19
Ignorado,51417,10,2,0,51405,Padre,19
Todas las edades,341212,211220,129436,344,212,Madre,20
Menos de 15,1578,1575,0,0,3,Madre,20
15 - 19,60410,55750,4621,0,39,Madre,20
20 - 24,105610,71768,33797,12,33,Madre,20
25 - 29,82401,42978,39353,39,31,Madre,20
30 - 34,53221,23580,29531,88,22,Madre,20
35 - 39,28846,12019,16697,120,10,Madre,20
40 - 44,8513,3325,5104,80,4,Madre,20
45 - 49,521,204,313,4,0,Madre,20
50 y más,31,11,19,1,0,Madre,20
Ignorado,81,10,1,0,70,Madre,20
Todas las edades,341212,163196,133803,379,43834,Padre,20
Menos de 15,19,19,0,0,0,Padre,20
15 - 19,13622,12734,886,0,2,Padre,20
20 - 24,75276,56408,18855,1,12,Padre,20
25 - 29,79421,43114,36263,26,18,Padre,20
30 - 34,58458,24715,33676,50,17,Padre,20
35 - 39,37035,13900,23044,78,13,Padre,20
40 - 44,20245,7167,12961,105,12,Padre,20
45 - 49,7789,2866,4854,64,5,Padre,20
50 y más,5590,2268,3264,55,3,Padre,20
Ignorado,43757,5,0,0,43752,Padre,20
Todas las edades,345149,215412,129199,336,202,Madre,21
Menos de 15,1805,1804,0,0,1,Madre,21
15 - 19,60731,56180,4508,1,42,Madre,21
20 - 24,105003,72290,32675,19,19,Madre,21
25 - 29,83683,44193,39417,46,27,Madre,21
30 - 34,54809,24670,30033,80,26,Madre,21
35 - 39,29583,12573,16879,120,11,Madre,21
40 - 44,8840,3454,5322,59,5,Madre,21
45 - 49,577,224,343,10,0,Madre,21
50 y más,36,13,22,1,0,Madre,21
Ignorado,82,11,0,0,71,Madre,21
Todas las edades,345149,165368,133472,396,45913,Padre,21
Menos de 15,27,27,0,0,0,Padre,21
15 - 19,14702,13643,1056,0,3,Padre,21
20 - 24,74880,55968,18891,4,17,Padre,21
25 - 29,79969,44141,35786,27,15,Padre,21
30 - 34,58542,24974,33507,39,22,Padre,21
35 - 39,37182,14094,22982,89,17,Padre,21
40 - 44,20267,7204,12935,119,9,Padre,21
45 - 49,8190,2981,5148,58,3,Padre,21
50 y más,5551,2322,3167,60,2,Padre,21
Ignorado,45839,14,0,0,45825,Padre,21
