Departamento de ocurrencia,Pueblo de pertenencia de la madre,Total,Menos de 15,15 - 19,20 - 24,25 - 29,30 - 34,35 - 39,40 - 44,45 - 49,50 y más,Ignorado,Anio,Departamento de residencia
Sololá,Todos los grupos étnicos,5996,21,796,1525,1377,1168,644,273,28,9,155,09,
Sololá,Indígena,5849,21,779,1492,1352,1155,636,267,27,9,111,09,
Sololá,No indígena,31,0,5,11,8,2,0,2,0,0,3,09,
Sololá,Ignorado,116,0,12,22,17,11,8,4,1,0,41,09,
Sololá,Todos los grupos étnicos,567,1,100,163,120,88,54,15,4,0,22,09,
Sololá,Indígena,542,1,98,160,113,82,54,14,4,0,16,09,
Sololá,No indígena,6,0,1,0,3,2,0,0,0,0,0,09,
Sololá,Ignorado,19,0,1,3,4,4,0,1,0,0,6,09,
Totonicapán,Todos los grupos étnicos,11410,31,1564,3031,2576,2019,1239,508,54,28,360,09,
Totonicapán,Indígena,9695,28,1352,2621,2203,1736,1082,442,51,25,155,09,
Totonicapán,No indígena,128,1,13,39,35,21,8,8,0,0,3,09,
Totonicapán,Ignorado,1587,2,199,371,338,262,149,58,3,3,202,09,
Totonicapán,Todos los grupos étnicos,3470,11,512,963,824,559,352,135,13,5,96,09,
Totonicapán,Indígena,2684,10,406,748,623,429,286,106,12,4,60,09,
Totonicapán,No indígena,93,0,11,28,28,17,3,5,0,0,1,09,
Totonicapán,Ignorado,693,1,95,187,173,113,63,24,1,1,35,09,
Totonicapán,Todos los grupos étnicos,7905,20,1045,2059,1745,1455,886,371,40,23,261,09,
Totonicapán,Indígena,6984,18,940,1865,1575,1302,796,335,38,21,94,09,
Totonicapán,No indígena,34,1,2,11,6,4,5,3,0,0,2,09,
Totonicapán,Ignorado,887,1,103,183,164,149,85,33,2,2,165,09,
Totonicapán,Todos los grupos étnicos,35,0,7,9,7,5,1,2,1,0,3,09,
Totonicapán,Indígena,27,0,6,8,5,5,0,1,1,0,1,09,
Totonicapán,No indígena,1,0,0,0,1,0,0,0,0,0,0,09,
Totonicapán,Ignorado,7,0,1,1,1,0,1,1,0,0,2,09,
Quetzaltenango,Todos los grupos étnicos,18653,89,3278,5327,4230,2715,1577,548,57,13,819,09,
Quetzaltenango,Indígena,9190,47,1610,2556,2090,1420,875,318,33,7,234,09,
Quetzaltenango,No indígena,6662,32,1228,2055,1616,927,489,161,14,5,135,09,
Quetzaltenango,Ignorado,2801,10,440,716,524,368,213,69,10,1,450,09,
Quetzaltenango,Todos los grupos étnicos,11421,51,1940,3400,2749,1664,914,270,27,3,403,09,
Quetzaltenango,Indígena,4809,22,789,1396,1154,747,445,145,15,1,95,09,
Quetzaltenango,No indígena,5094,23,907,1592,1282,715,361,96,7,2,109,09,
Quetzaltenango,Ignorado,1518,6,244,412,313,202,108,29,5,0,199,09,
Quetzaltenango,Todos los grupos étnicos,6990,37,1303,1853,1425,1021,646,268,29,10,398,09,
Quetzaltenango,Indígena,4241,25,797,1113,901,657,421,169,17,6,135,09,
Quetzaltenango,No indígena,1501,8,313,443,318,201,123,61,7,3,24,09,
Quetzaltenango,Ignorado,1248,4,193,297,206,163,102,38,5,1,239,09,
